store_type,store_id,type,type2,size,price,price_per_oz,price_per_oz_c,taxed,supp,product_id,time,Sample
2,16,WATER,,33.8,1.69,0.05,5,0,0,29,DEC2014,1
2,16,TEA,,23,0.99,0.04304347826,4.304347826,1,0,32,DEC2014,0
2,16,TEA,,23,0.99,0.04304347826,4.304347826,1,0,33,DEC2014,0
2,16,WATER,,33.8,1.69,0.05,5,0,0,38,DEC2014,1
2,16,MILK,LOW FAT MILK,128,3.79,0.029609375,2.9609375,0,0,40,DEC2014,0
2,16,MILK,LOW FAT MILK,64,2.79,0.04359375,4.359375,0,0,41,DEC2014,1
2,16,MILK,WHOLE MILK,128,3.79,0.029609375,2.9609375,0,0,42,DEC2014,0
2,16,MILK,WHOLE MILK,64,2.79,0.04359375,4.359375,0,0,43,DEC2014,1
2,16,JUICE,,63.9,4.59,0.07183098592,7.183098592,0,0,44,DEC2014,0
2,16,SODA,,144,5.99,0.04159722222,4.159722222,1,1,50,DEC2014,0
2,16,SODA,,20,1.89,0.0945,9.45,1,0,59,DEC2014,1
2,16,SODA,,67.6,2.49,0.03683431953,3.683431953,1,0,60,DEC2014,1
2,16,SODA-DIET,,20,1.89,0.0945,9.45,0,0,61,DEC2014,0
2,16,SODA-DIET,,144,5.99,0.04159722222,4.159722222,0,1,81,DEC2014,0
2,16,SODA-DIET,,144,5.99,0.04159722222,4.159722222,0,1,91,DEC2014,0
2,16,SODA-DIET,,67.6,2.49,0.03683431953,3.683431953,0,0,97,DEC2014,1
2,16,SODA-DIET,,67.6,2.49,0.03683431953,3.683431953,0,0,98,DEC2014,0
2,16,SODA-DIET,,67.6,2.49,0.03683431953,3.683431953,0,0,100,DEC2014,1
2,16,SODA-DIET,,12,0.99,0.0825,8.25,0,0,104,DEC2014,0
2,16,SODA-DIET,,20,1.89,0.0945,9.45,0,0,105,DEC2014,1
2,16,ENERGY-DIET,,6,2.59,0.4316666667,43.16666667,0,0,108,DEC2014,1
2,16,SODA-DIET,,20,1.89,0.0945,9.45,0,0,110,DEC2014,1
2,16,SODA-DIET,,20,1.89,0.0945,9.45,0,0,112,DEC2014,1
2,16,ENERGY-DIET,,8.4,2.49,0.2964285714,29.64285714,0,0,113,DEC2014,1
2,16,ENERGY-DIET,,6,2.19,0.365,36.5,0,0,114,DEC2014,1
2,16,SODA,,67.6,2.49,0.03683431953,3.683431953,1,0,125,DEC2014,0
2,16,SODA,,12,0.99,0.0825,8.25,1,0,126,DEC2014,0
2,16,SODA,,20,1.89,0.0945,9.45,1,1,130,DEC2014,0
2,16,SPORT,,28,1.49,0.05321428571,5.321428571,1,0,140,DEC2014,1
2,16,MILK,WHOLE MILK,128,4.79,0.037421875,3.7421875,0,0,145,DEC2014,0
2,16,JUICE,,15.2,2.29,0.1506578947,15.06578947,0,0,160,DEC2014,1
2,16,ENERGY,,6,2.59,0.4316666667,43.16666667,1,0,162,DEC2014,1
2,16,SODA,,20,1.89,0.0945,9.45,1,0,172,DEC2014,1
2,16,SODA,,144,5.99,0.04159722222,4.159722222,1,1,181,DEC2014,1
2,16,SODA,,20,1.89,0.0945,9.45,1,0,189,DEC2014,1
2,16,SODA,,67.6,2.49,0.03683431953,3.683431953,1,0,190,DEC2014,0
2,16,ENERGY,,8.4,2.49,0.2964285714,29.64285714,1,0,193,DEC2014,1
2,16,ENERGY,,6,2.19,0.365,36.5,1,0,195,DEC2014,1
2,16,TEA,,6,3.49,0.5816666667,58.16666667,1,0,196,DEC2014,1
2,16,SODA,,144,5.99,0.04159722222,4.159722222,1,1,16,DEC2014,0
2,16,SODA,,12,0.99,0.0825,8.25,1,0,213,DEC2014,0
2,16,SODA,,20,1.89,0.0945,9.45,1,0,214,DEC2014,1
2,16,SODA,,67.6,2.49,0.03683431953,3.683431953,1,0,215,DEC2014,1
2,16,SODA,,20,1.99,0.0995,9.95,1,0,219,DEC2014,0
2,16,JUICE,,12,1.99,0.1658333333,16.58333333,0,0,230,DEC2014,1
2,16,JUICE,COCONUT WATER,16.9,2.99,0.1769230769,17.69230769,0,0,232,DEC2014,1
4,6,TEA,,23,1.69,0.07347826087,7.347826087,1,0,32,DEC2014,1
